step,fair_price,bid_quote,ask_quote,quoted_spread,inventory,cash,wealth,pnl,cumulative_trades,cumulative_filled_volume,drawdown
0,99.99941195948735,99.94,100.06,0.12,5,99500.295,100000.29205979743,0.2920597974298289,1,5,0.0
1,100.01577478646617,99.88,100.0,0.12,5,99500.295,100000.37387393233,0.3738739323307527,1,5,0.0
2,100.05856373331976,99.9,100.02,0.12,5,99500.295,100000.5878186666,0.587818666594103,1,5,0.0
3,100.04433920774629,99.94,100.06,0.12,0,100000.59,100000.59,0.5899999999965075,2,10,0.0
4,100.06710995532015,99.98,100.1,0.12,-2,100200.788,100000.65378008936,0.6537800893565873,3,12,0.0
5,100.07523560162748,100.03,100.15,0.12,-2,100200.788,100000.63752879674,0.6375287967384793,3,12,0.016251292618107982
6,100.02423514793253,100.04,100.16,0.12,-7,100701.583,100001.41335396447,1.413353964468115,4,17,0.0
7,99.96533470592598,100.05,100.17,0.12,-6,100601.53199999999,100001.73999176444,1.7399917644361267,5,18,0.0
8,99.97663905455512,99.98,100.1,0.12,-6,100601.53199999999,100001.67216567266,1.6721656726585934,5,18,0.06782609177753329
9,99.9821879437428,99.99,100.11,0.12,-4,100401.55,100001.62124822503,1.6212482250266476,6,20,0.11874353940947913
10,99.96575886183571,99.97,100.09,0.12,-4,100401.55,100001.68696455266,1.6869645526603563,6,20,0.05302721177577041
11,99.90670215664719,99.95,100.07,0.12,-4,100401.55,100001.92319137341,1.9231913734111004,6,20,0.0
12,99.8934664672558,99.89,100.01,0.12,-4,100401.55,100001.97613413098,1.9761341309786076,6,20,0.0
13,99.83301025244407,99.88,100.0,0.12,-4,100401.55,100002.21795899022,2.2179589902225416,6,20,0.0
14,99.81447800762683,99.82,99.94,0.12,-4,100401.55,100002.2920879695,2.2920879695011536,6,20,0.0
15,99.88004957276024,99.8,99.92,0.12,-4,100401.55,100002.02980170897,2.0298017089662608,6,20,0.2622862605348928
16,99.90227985589874,99.87,99.99,0.12,1,99902.19499999999,100002.0972798559,2.0972798558941577,7,25,0.1948081136069959
17,99.9167841860634,99.83,99.95,0.12,-4,100401.93999999999,100002.27286325574,2.2728632557409583,8,30,0.0192247137601953
18,99.92228088592398,99.9,100.02,0.12,-4,100401.93999999999,100002.2508764563,2.250876456295373,8,30,0.04121151320578065
19,99.92684049417554,99.91,100.03,0.12,1,99902.38499999998,100002.31184049415,2.3118404941487825,9,35,0.0
20,99.8952380429425,99.85,99.97,0.12,-2,100202.29199999999,100002.5015239141,2.501523914106656,10,38,0.0
21,99.91085056999437,99.86,99.98,0.12,-2,100202.29199999999,100002.47029886,2.4702988600038225,10,38,0.031225054102833383
22,99.91645027646943,99.87,99.99,0.12,-2,100202.29199999999,100002.45909944705,2.459099447049084,10,38,0.042424467057571746
23,99.9882017361893,99.88,100.0,0.12,-7,100702.28699999998,100002.36958784665,2.369587846653303,11,43,0.13193606745335273
24,99.9819185637244,100.01,100.13,0.12,-7,100702.28699999998,100002.4135700539,2.41357005390455,11,43,0.08795386020210572
25,99.97619806227605,100.01,100.13,0.12,-4,100402.25399999999,100002.34920775089,2.349207750885398,12,46,0.15231616322125774
26,99.93353960516123,99.96,100.08,0.12,1,99902.44899999998,100002.38253960514,2.3825396051397547,13,51,0.11898430896690115
27,99.92207104685856,99.86,99.98,0.12,-3,100302.36499999998,100002.5987868594,2.5987868593947496,14,55,0.0
28,99.91423598826775,99.9,100.02,0.12,-3,100302.36499999998,100002.62229203517,2.622292035171995,14,55,0.0
29,99.88437247099819,99.89,100.01,0.12,-2,100202.47399999997,100002.70525505798,2.7052550579828676,15,56,0.0
30,99.87867916377911,99.85,99.97,0.12,0,100002.77199999998,100002.77199999998,2.771999999982654,16,58,0.0
31,99.81715867008162,99.82,99.94,0.12,-3,100302.58899999999,100003.13752398975,3.1375239897461142,17,61,0.0
32,99.91883602100503,99.79,99.91,0.12,-3,100302.58899999999,100002.83249193698,2.8324919369770214,17,61,0.30503205276909284
33,99.92367055851199,99.89,100.01,0.12,-8,100802.63399999999,100003.2446355319,3.2446355318970745,18,66,0.0
34,99.95911561213568,99.96,100.08,0.12,-8,100802.63399999999,100002.96107510291,2.9610751029103994,18,66,0.2835604289866751
35,99.97019291129425,100.0,100.12,0.12,-8,100802.63399999999,100002.87245670964,2.872456709636026,18,66,0.3721788222610485
36,99.93125850977484,100.01,100.13,0.12,-8,100802.63399999999,100003.1839319218,3.183931921797921,18,66,0.06070361009915359
37,99.94716322161234,99.97,100.09,0.12,-8,100802.63399999999,100003.0566942271,3.056694227096159,18,66,0.18794130480091553
38,99.94354113223004,99.98,100.1,0.12,-8,100802.63399999999,100003.08567094215,3.0856709421495907,18,66,0.15896458974748384
39,99.93052412188379,99.98,100.1,0.12,-4,100402.70999999999,100002.98790351246,2.987903512461344,19,70,0.25673201943573076
40,99.91881815585134,99.92,100.04,0.12,-4,100402.70999999999,100003.03472737658,3.034727376580122,19,70,0.20990815531695262
41,99.94779774203924,99.91,100.03,0.12,-1,100102.977,100003.02920225797,3.029202257966972,20,73,0.2154332739301026
42,99.9707913903106,99.9,100.02,0.12,3,99703.37299999999,100003.28537417093,3.285374170925934,21,77,0.0
43,100.02368438547528,99.87,99.99,0.12,3,99703.37299999999,100003.44405315642,3.4440531564177945,21,77,0.0
44,100.08212030673901,99.93,100.05,0.12,-1,100103.56899999999,100003.48687969324,3.486879693242372,22,81,0.0
45,100.1386876455968,100.03,100.15,0.12,-1,100103.56899999999,100003.4303123544,3.4303123543941183,22,81,0.05656733884825371
46,100.11870461744354,100.09,100.21,0.12,0,100003.47799999999,100003.47799999999,3.477999999988242,23,82,0.008879693254129961
47,100.15012340269591,100.06,100.18,0.12,-4,100404.19399999999,100003.59350638921,3.5935063892102335,24,86,0.0
48,100.17967688436289,100.14,100.26,0.12,1,99903.48899999999,100003.66867688435,3.668676884350134,25,91,0.0
49,100.217825787016,100.11,100.23,0.12,6,99402.93399999998,100004.24095472207,4.240954722074093,26,96,0.0
50,100.23321306822659,100.09,100.21,0.12,1,99903.97899999998,100004.21221306821,4.2122130682109855,27,101,0.028741653863107786
51,100.21670090704924,100.16,100.28,0.12,1,99903.97899999998,100004.19570090703,4.1957009070320055,27,101,0.04525381504208781
52,100.21003734284879,100.14,100.26,0.12,-4,100405.27399999998,100004.43385062859,4.4338506285857875,28,106,0.0
53,100.25707050931963,100.2,100.32,0.12,-4,100405.27399999998,100004.2457179627,4.245717962694471,28,106,0.18813266589131672
54,100.29519312170451,100.25,100.37,0.12,1,99904.01899999997,100004.31419312168,4.3141931216814555,29,111,0.11965750690433197
55,100.26588418387055,100.22,100.34,0.12,2,99803.79799999997,100004.32976836771,4.329768367708311,30,112,0.10408226087747607
56,100.32611112796137,100.18,100.3,0.12,2,99803.79799999997,100004.4502222559,4.450222255894914,30,112,0.0
57,100.2620294240567,100.24,100.36,0.12,2,99803.79799999997,100004.32205884808,4.322058848076267,30,112,0.1281634078186471
58,100.27469668894422,100.18,100.3,0.12,4,99603.43599999997,100004.53478675574,4.534786755742971,31,114,0.0
59,100.2521068753871,100.17,100.29,0.12,4,99603.43599999997,100004.44442750153,4.444427501526661,31,114,0.09035925421630964
60,100.25120167570871,100.14,100.26,0.12,-1,100104.73099999997,100004.47979832426,4.479798324260628,32,119,0.054988431482343
61,100.31900476639375,100.2,100.32,0.12,-6,100606.32599999997,100004.41197140161,4.411971401612391,33,124,0.12281535413058009
62,100.35623957003945,100.33,100.45,0.12,-1,100104.67099999997,100004.31476042993,4.314760429930175,34,129,0.22002632581279613
63,100.35944277627551,100.31,100.43,0.12,-1,100104.67099999997,100004.3115572237,4.31155722370022,34,129,0.2232295320427511
64,100.38087978314476,100.31,100.43,0.12,4,99603.11599999997,100004.63951913254,4.639519132542773,35,134,0.0
65,100.36913352526061,100.27,100.39,0.12,-1,100105.06099999996,100004.69186647469,4.691866474691778,36,139,0.0
66,100.35011118248296,100.32,100.44,0.12,-3,100305.93899999997,100004.88866645252,4.8886664525198285,37,141,0.0
67,100.33970486478854,100.33,100.45,0.12,-3,100305.93899999997,100004.9198854056,4.919885405601235,37,141,0.0
68,100.30574963160075,100.32,100.44,0.12,-3,100305.93899999997,100005.02175110517,5.021751105174189,37,141,0.0
69,100.31478764041704,100.28,100.4,0.12,-7,100707.53499999997,100005.33148651705,5.331486517054145,38,145,0.0
70,100.35496108354272,100.34,100.46,0.12,-7,100707.53499999997,100005.05027241517,5.050272415173822,38,145,0.28121410188032314
71,100.34938961304442,100.38,100.5,0.12,-2,100205.62999999998,100004.93122077388,4.931220773883979,39,150,0.4002657431701664
72,100.36886828354072,100.31,100.43,0.12,-2,100205.62999999998,100004.89226343289,4.892263432891923,39,150,0.4392230841622222
73,100.35088629714876,100.33,100.45,0.12,1,99904.63699999997,100004.98788629712,4.987886297123623,40,153,0.34360021993052214
74,100.363298606389,100.28,100.4,0.12,-4,100406.63199999997,100005.17880557441,5.178805574410944,41,158,0.15268094264320098
75,100.31237981940497,100.35,100.47,0.12,-4,100406.63199999997,100005.38248072234,5.382480722342734,41,158,0.0
76,100.27190765129568,100.3,100.42,0.12,-4,100406.63199999997,100005.54436939479,5.544369394789101,41,158,0.0
77,100.32829671649317,100.26,100.38,0.12,1,99905.32699999996,100005.65529671646,5.655296716460725,42,163,0.0
78,100.31007612204323,100.26,100.38,0.12,-2,100206.46399999996,100005.84384775588,5.843847755881143,43,166,0.0
79,100.35468177463618,100.27,100.39,0.12,-2,100206.46399999996,100005.75463645069,5.7546364506852115,43,166,0.08921130519593135
80,100.33648099282757,100.32,100.44,0.12,-7,100708.65899999996,100006.30363305016,6.303633050163626,44,171,0.0
81,100.36146469760446,100.36,100.48,0.12,-7,100708.65899999996,100006.12874711673,6.128747116730665,44,171,0.17488593343296088
82,100.3247938654537,100.39,100.51,0.12,-5,100507.87699999996,100006.2530306727,6.2530306726985145,45,173,0.050602377465111203
83,100.25700453403199,100.32,100.44,0.12,0,100006.27199999995,100006.27199999995,6.27199999995355,46,178,0.03163305021007545
84,100.3288485084001,100.2,100.32,0.12,-4,100407.54799999995,100006.23260596635,6.232605966346455,47,182,0.07102708381717093
85,100.2843711353266,100.32,100.44,0.12,-4,100407.54799999995,100006.41051545864,6.410515458643204,47,182,0.0
86,100.3229252061647,100.27,100.39,0.12,-4,100407.54799999995,100006.2562991753,6.256299175292952,47,182,0.15421628335025162
87,100.31094327331147,100.31,100.43,0.12,1,99905.99299999994,100006.30394327326,6.303943273262121,48,187,0.10657218538108282
88,100.32047621474607,100.24,100.36,0.12,6,99404.78799999994,100006.71085728842,6.7108572884171735,49,192,0.0
89,100.33395482392498,100.19,100.31,0.12,6,99404.78799999994,100006.7917289435,6.791728943499038,49,192,0.0
90,100.31642524999472,100.2,100.32,0.12,6,99404.78799999994,100006.68655149991,6.6865514999080915,49,192,0.1051774435909465
91,100.30782359749428,100.18,100.3,0.12,6,99404.78799999994,100006.63494158491,6.634941584910848,49,192,0.15678735858818982
92,100.34677740370239,100.18,100.3,0.12,1,99906.28299999994,100006.62977740364,6.629777403635671,50,197,0.16195153986336663
93,100.31490728276513,100.27,100.39,0.12,1,99906.28299999994,100006.5979072827,6.5979072827030905,50,197,0.19382166079594754
94,100.28953313226242,100.24,100.36,0.12,2,99806.04199999993,100006.62106626446,6.621066264458932,51,198,0.170662679040106
95,100.28616686947011,100.21,100.33,0.12,2,99806.04199999993,100006.61433373886,6.614333738863934,51,198,0.17739520463510416
96,100.26498311383564,100.2,100.32,0.12,0,100006.67999999993,100006.67999999993,6.679999999934807,52,200,0.11172894356423058
97,100.27051728180732,100.2,100.32,0.12,0,100006.67999999993,100006.67999999993,6.679999999934807,52,200,0.11172894356423058
98,100.20542304257822,100.21,100.33,0.12,5,99505.62499999993,100006.65211521281,6.652115212811623,53,205,0.13961373068741523
99,100.17416347082275,100.09,100.21,0.12,5,99505.62499999993,100006.49581735404,6.495817354036262,53,205,0.29591158946277574
100,100.21392517474719,100.05,100.17,0.12,5,99505.62499999993,100006.69462587366,6.69462587365706,53,205,0.09710306984197814
101,100.24385287402727,100.09,100.21,0.12,0,100006.66999999993,100006.66999999993,6.669999999925494,54,210,0.1217289435735438
102,100.30436771095827,100.18,100.3,0.12,0,100006.66999999993,100006.66999999993,6.669999999925494,54,210,0.1217289435735438
103,100.28848121845313,100.24,100.36,0.12,1,99906.42899999992,100006.71748121837,6.7174812183657195,55,211,0.07424772513331845
104,100.28137922898529,100.22,100.34,0.12,-4,100408.12399999991,100006.99848308397,6.998483083967585,56,216,0.0
105,100.27708526667296,100.27,100.39,0.12,1,99906.7689999999,100007.04608526657,7.046085266571026,57,221,0.0
106,100.32214185557913,100.21,100.33,0.12,5,99505.9249999999,100007.5357092778,7.535709277799469,58,225,0.0
107,100.33099282410308,100.2,100.32,0.12,2,99806.88199999991,100007.54398564811,7.54398564810981,59,228,0.0
108,100.3405549649029,100.25,100.37,0.12,2,99806.88199999991,100007.56310992972,7.5631099297170294,59,228,0.0
109,100.2998821819572,100.26,100.38,0.12,2,99806.88199999991,100007.48176436382,7.4817643638234586,59,228,0.08134556589357089
110,100.35453251902032,100.22,100.34,0.12,7,99305.7769999999,100008.25872763305,8.258727633045055,60,233,0.0
111,100.34277464614392,100.21,100.33,0.12,2,99807.42199999989,100008.10754929218,8.10754929218092,61,238,0.15117834086413495
112,100.31802038759562,100.26,100.38,0.12,-1,100108.55899999989,100008.2409796123,8.240979612295632,62,241,0.01774802074942272
113,100.34780079702682,100.27,100.39,0.12,-3,100309.3369999999,100008.29359760882,8.293597608819255,63,243,0.0
114,100.3768869120452,100.32,100.44,0.12,2,99807.73199999989,100008.48577382398,8.485773823980708,64,248,0.0
115,100.37909199493691,100.29,100.41,0.12,0,100008.5499999999,100008.5499999999,8.549999999901047,65,250,0.0
116,100.37811260895836,100.32,100.44,0.12,0,100008.5499999999,100008.5499999999,8.549999999901047,65,250,0.0
117,100.29055311441277,100.32,100.44,0.12,-5,100510.7449999999,100009.29223442783,9.292234427834046,66,255,0.0
118,100.26689250871392,100.29,100.41,0.12,-5,100510.7449999999,100009.41053745632,9.410537456322345,66,255,0.0
119,100.26173202156679,100.27,100.39,0.12,-5,100510.7449999999,100009.43633989205,9.436339892054093,66,255,0.0
120,100.29362818706733,100.26,100.38,0.12,-5,100510.7449999999,100009.27685906456,9.276859064557357,66,255,0.1594808274967363
121,100.25992604433549,100.29,100.41,0.12,-5,100510.7449999999,100009.44536977822,9.445369778215536,66,255,0.0
122,100.26409894947494,100.26,100.38,0.12,-5,100510.7449999999,100009.42450525252,9.424505252522067,66,255,0.02086452569346875
123,100.2823095332902,100.26,100.38,0.12,-5,100510.7449999999,100009.33345233345,9.333452333448804,66,255,0.11191744476673193
124,100.3306184356348,100.28,100.4,0.12,-5,100510.7449999999,100009.09190782173,9.091907821726636,66,255,0.3534619564888999
125,100.21004763247996,100.33,100.45,0.12,-1,100109.42099999989,100009.2109523674,9.21095236740075,67,259,0.2344174108147854
126,100.16936262517505,100.16,100.28,0.12,-1,100109.42099999989,100009.2516373747,9.251637374705751,67,259,0.1937324035097845
127,100.1836438913659,100.12,100.24,0.12,-1,100109.42099999989,100009.23735610853,9.237356108526,67,259,0.20801366968953516
128,100.19799641286747,100.14,100.26,0.12,1,99909.1389999999,100009.33699641276,9.336996412763256,68,261,0.10837336545228027
129,100.16300648486404,100.13,100.25,0.12,1,99909.1389999999,100009.30200648475,9.302006484751473,68,261,0.14336329346406274
130,100.17103834490527,100.09,100.21,0.12,6,99408.68399999989,100009.71023006932,9.710230069322279,69,266,0.0
131,100.1604466533238,100.04,100.16,0.12,6,99408.68399999989,100009.64667991984,9.646679919838789,69,266,0.0635501494834898
132,100.15660595696674,100.03,100.15,0.12,6,99408.68399999989,100009.6236357417,9.623635741692851,69,266,0.08659432762942743
133,100.17879282018743,100.02,100.14,0.12,6,99408.68399999989,100009.75675692102,9.756756921022316,69,266,0.0
134,100.22927348787894,100.05,100.17,0.12,1,99909.5289999999,100009.75827348777,9.75827348776511,70,271,0.0
135,100.24116912552068,100.16,100.28,0.12,-4,100410.92399999988,100009.9593234978,9.959323497794685,71,276,0.0
136,100.16486177326355,100.23,100.35,0.12,-4,100410.92399999988,100010.26455290682,10.264552906824974,71,276,0.0
137,100.1283846559572,100.15,100.27,0.12,1,99910.16899999988,100010.29738465583,10.297384655830683,72,281,0.0
138,100.09496694235763,100.06,100.18,0.12,1,99910.16899999988,100010.26396694224,10.263966942235129,72,281,0.03341771359555423
139,100.11027987105932,100.02,100.14,0.12,6,99410.06399999987,100010.72567922622,10.725679226219654,73,286,0.0
140,100.12467088818988,99.98,100.1,0.12,2,99810.45999999986,100010.70934177624,10.709341776237125,74,290,0.016337449982529506
141,100.16429909821616,100.04,100.16,0.12,2,99810.45999999986,100010.78859819629,10.788598196289968,74,290,0.0
142,100.16159163192243,100.08,100.2,0.12,2,99810.45999999986,100010.7831832637,10.783183263702085,74,290,0.005414932587882504
143,100.14106115394495,100.08,100.2,0.12,1,99910.65899999985,100010.8000611538,10.800061153800925,75,291,0.0
144,100.09212731585198,100.07,100.19,0.12,6,99410.30399999984,100010.85676389496,10.85676389496075,76,296,0.0
145,100.1350475692997,99.96,100.08,0.12,6,99410.30399999984,100011.11428541564,11.114285415635095,76,296,0.0
146,100.17123568936682,100.0,100.12,0.12,3,99710.66099999985,100011.17470706794,11.174707067941199,77,299,0.0
147,100.13090697992213,100.08,100.2,0.12,1,99911.05899999985,100011.18990697977,11.18990697976551,78,301,0.0
148,100.12866808465367,100.06,100.18,0.12,2,99810.99799999985,100011.25533616915,11.255336169153452,79,302,0.0
149,100.03725730113732,100.04,100.16,0.12,5,99510.87499999985,100011.06128650554,11.061286505544558,80,305,0.19404966360889375
150,100.03856027541207,99.92,100.04,0.12,5,99510.87499999985,100011.06780137692,11.067801376921125,80,305,0.18753479223232716
